ID,TOP,BOTTOM,RHO,NOTES,TYPE
1,52,49,416,-9999,R
1,49,46,362,-9999,F
1,46,43,321,-9999,F
1,43,40,327,-9999,F
1,40,37,310,-9999,F
1,37,34,323,-9999,F
1,34,31,347,-9999,F
1,31,28,358,-9999,F
1,28,25,284,-9999,H
1,25,22,233,-9999,H
1,22,19,245,-9999,H
1,19,16,233,-9999,H
1,16,13,237,-9999,H
1,13,10,255,-9999,H
1,10,7,258,-9999,H
1,7,4,256,-9999,H
1,4,1,248,-9999,H
2,20,17,348,-9999,R
2,17,14,394,-9999,R
2,14,11,357,-9999,F
2,11,8,391,Ice in sample,I
2,8,5,342,Ice in sample,I
2,5,2,193,-9999,H
2,3,0,191,-9999,H
3,47,44,181,-9999,N
3,44,41,333,-9999,R
3,41,38,379,-9999,F
3,38,35,444,-9999,F
3,35,32,269,-9999,H
3,32,29,302,-9999,H
3,29,26,289,-9999,H
3,26,23,254,-9999,H
3,23,20,274,-9999,H
3,20,17,237,-9999,H
3,17,14,212,-9999,H
3,14,11,312,-9999,H
3,11,8,332,-9999,H
3,8,5,276,-9999,H
3,5,2,255,-9999,H
4,40,37,443,-9999,F
4,37,34,465,-9999,F
4,34,31,494,-9999,F
4,31,28,458,-9999,F
4,28,25,383,-9999,F
4,25,22,419,-9999,F
4,22,19,377,-9999,H
4,19,16,289,-9999,H
4,16,13,300,-9999,H
4,13,10,280,-9999,H
4,10,7,323,-9999,H
4,7,4,333,-9999,H
4,4,1,423,Ice in sample,I
5,39,36,246,-9999,N
5,36,33,262,-9999,F
5,33,30,383,-9999,F
5,30,27,328,-9999,H
5,27,24,376,-9999,H
5,24,21,237,-9999,H
5,21,18,245,-9999,H
5,18,15,292,-9999,H
5,15,12,295,-9999,H
5,12,9,263,-9999,H
5,9,6,285,-9999,H
5,6,3,280,-9999,H
5,3,0,288,-9999,H
6,23,20,256,-9999,N
6,20,17,288,-9999,F
6,17,14,267,-9999,F
6,14,11,294,-9999,F
6,11,8,298,-9999,F
6,8,5,151,-9999,H
6,5,2,254,-9999,H
6,3,0,334,-9999,F
7,16,13,368,-9999,R
7,13,10,408,-9999,R
7,10,7,392,-9999,F
7,7,4,183,-9999,H
7,3,0,256,-9999,H
8,24,21,323,-9999,F
8,21,18,362,-9999,F
8,18,15,187,-9999,H
8,15,12,318,-9999,F
8,12,9,272,-9999,H
8,9,6,325,-9999,F
8,6,3,387,-9999,F
8,3,0,221,-9999,H
9,18,15,266,-9999,F
9,15,12,300,-9999,F
9,12,9,232,-9999,H
9,9,6,213,-9999,H
9,6,3,274,-9999,H
9,3,0,311,-9999,H
10,25,22,384,-9999,R
10,22,19,358,-9999,F
10,19,16,368,-9999,F
10,16,13,376,-9999,F
10,13,10,384,-9999,F
10,10,7,387,-9999,F
10,7,4,319,-9999,F
10,3,0,230,-9999,H
11,16,13,252,-9999,R
11,13,10,336,-9999,H
11,10,7,387,-9999,F
11,7,4,306,-9999,H
11,3,0,326,-9999,H
12,19,16,354,-9999,F
12,16,13,394,-9999,F
12,13,10,390,-9999,F
12,10,7,386,-9999,F
12,7,4,330,-9999,F
12,3,0,278,-9999,H
13,40,37,429,-9999,R
13,37,34,402,-9999,R
13,34,31,351,-9999,F
13,31,28,287,-9999,F
13,28,25,268,-9999,F
13,25,22,266,-9999,F
13,22,19,242,Ice in sample,I
13,19,16,233,Ice in sample,I
13,16,13,281,-9999,F
13,13,10,316,-9999,F
13,10,7,219,-9999,H
13,7,4,222,-9999,H
13,3,0,301,-9999,H
14,60,57,312,-9999,R
14,57,54,235,-9999,F
14,55,52,354,-9999,F
14,52,49,333,-9999,F
14,49,46,331,-9999,F
14,46,43,308,-9999,F
14,43,40,297,-9999,F
14,40,37,284,-9999,F
14,37,34,263,-9999,F
14,34,31,210,-9999,H
14,31,28,198,-9999,H
14,28,25,232,-9999,F
14,25,22,225,-9999,F
14,22,19,253,-9999,F
14,19,16,247,-9999,F
14,16,13,266,-9999,F
14,13,10,235,Ice in sample,I
14,10,7,140,-9999,H
14,7,4,230,-9999,H
14,3,0,256,-9999,H
15,11,8,253,-9999,F
15,8,5,256,-9999,H
15,3,0,380,-9999,H
16,26,23,355,-9999,R
16,23,20,348,-9999,R
16,20,17,319,-9999,F
16,17,14,268,-9999,F
16,14,11,135,-9999,H
16,11,8,142,-9999,H
16,8,5,264,-9999,H
16,5,2,194,-9999,H
16,3,0,196,-9999,H
17,34,31,381,-9999,R
17,31,28,377,-9999,R
17,28,25,366,-9999,R
17,25,22,365,-9999,R
17,22,19,447,-9999,F
17,19,16,431,-9999,F
17,16,13,354,-9999,F
17,13,10,120,-9999,H
17,10,7,259,-9999,H
17,7,4,223,-9999,H
17,3,0,205,-9999,H
18,18,15,445,-9999,F
18,15,12,398,-9999,F
18,12,9,323,-9999,F
18,9,6,120,-9999,H
18,3,0,198,-9999,H
19,40,37,469,-9999,R
19,34,31,470,-9999,R
19,31,28,449,-9999,R
19,28,25,450,-9999,R
19,25,22,450,-9999,R
19,22,19,442,-9999,R
19,19,16,432,-9999,R
19,16,13,432,-9999,R
19,13,10,339,-9999,R
19,10,7,301,-9999,R
19,7,4,355,-9999,H
19,3,0,231,-9999,H
20,25,22,338,-9999,R
20,22,19,377,-9999,R
20,19,16,340,-9999,F
20,16,13,201,-9999,F
20,13,10,191,-9999,H
20,10,7,372,-9999,F
20,7,4,395,-9999,F
20,3,0,269,-9999,H
21,14,11,413,-9999,F
21,11,8,364,-9999,F
21,8,5,233,-9999,H
21,3,0,175,-9999,H
22,23,20,337,-9999,R
22,20,17,300,-9999,R
22,18,15,396,-9999,R
22,15,12,412,-9999,F
22,12,9,365,-9999,F
22,9,6,345,-9999,F
22,3,0,311,-9999,H
23,31,17.5,428,-9999,R
23,28,25,393,-9999,F
23,17,14,349,-9999,F
23,13,10,361,-9999,F
23,10,7,259,-9999,F
23,3,0,228,-9999,H
24,18,11.5,442.5,-9999,R
24,11.5,9,385.5,-9999,F
24,9,2,199,-9999,H
24,2,0,358,-9999,F
25,22.5,11.5,480,-9999,R
25,11.5,5,381,-9999,F
25,5,0,226.5,-9999,H
26,16.5,11.5,417,-9999,R
26,10.5,5,395,-9999,F
26,4,0,184.5,-9999,H
